place_id,restaurant_name,latitude,longitude,search_area,Anchor_Destinations,Daytime_Population,Commercial_Vitality
ChIJGx1e6owZ6zkR8FuYpBS2aOA,Organic Chulo Garden Restaurant,27.6980786,85.3491212,Baneshwor,0.0867,0.3223,0.1408
ChIJ69vuJ74Z6zkRiTZeLqrumw8,La Terrasse,27.7341736,85.33665549999999,Baneshwor,0.0,0.0,0.0
ChIJnVTxHmAZ6zkR-J6rSHk_OyM,Yei restaurant & cafe,27.7002692,85.34359180000001,Baneshwor,0.0893,0.4155,0.2664
ChIJNRn59m8Z6zkRdLZdLLpVIlA,Chat Restaurant And Bar,27.6894581,85.3355299,Baneshwor,0.1814,0.6251,0.4678
ChIJtVigIL0Z6zkRLhtLmzxH7Hk,Himalayan Soba Restaurant,27.6852355,85.334662,Baneshwor,0.1542,0.5983,0.4914
ChIJH1SPMVEZ6zkR7SKZCLi10_4,Koila Restaurant,27.6879494,85.32596269999999,Baneshwor,0.1009,0.3924,0.279
ChIJ3zGpcqAZ6zkRfXtUbQlekVk,Cafe DieterRams,27.6935367,85.3364476,Baneshwor,0.1316,0.5813,0.4798
ChIJofB7NS8Z6zkRJzYYsmaQBIc,Good Day Cafe,27.7009425,85.3219325,Baneshwor,0.0731,0.4079,0.3926
ChIJIclnu_0Z6zkRKyqK4PUal9Y,Cafe Cups and Mugs,27.6969025,85.3380937,Baneshwor,0.086,0.5205,0.3072
ChIJEafrAgAZ6zkRihhNtq0fz-8,Indo-Bhutan Cafe ktm,27.6918694,85.3325917,Baneshwor,0.1424,0.5331,0.4365
ChIJNyFJApYZ6zkR9kxSVuP23DQ,The Bakery Cafe Baneshwor,27.6887822,85.33446970000001,Baneshwor,0.1803,0.6496,0.5147
ChIJX0WHr8wZ6zkRMN4234uf49E,Mero Cafe,27.6966809,85.3440535,Baneshwor,0.0738,0.4131,0.2866
ChIJMXZlpioZ6zkRh1zg5gv0Rj4,Citywood Cafe',27.694798700000003,85.3374121,Baneshwor,0.1268,0.5209,0.3919
ChIJLU0kIwAZ6zkRqZKrTH2wZfY,Eat Go Cafe,27.6933889,85.34457019999999,Baneshwor,0.0779,0.4448,0.3901
ChIJB0VsQ7EZ6zkR5aGw77DLAE4,Terrace Cafe & Restro,27.6880675,85.3353082,Baneshwor,0.1809,0.6437,0.5118
ChIJZ61001MZ6zkRWgRozGP-P1U,Offline Cafe,27.6810841,85.3415199,Baneshwor,0.1264,0.2911,0.2859
ChIJaeS5UQAZ6zkRw2nI0x_Uo_I,"Caffeophilia, Gyaneshwor",27.7097143,85.33273570000001,Baneshwor,0.0857,0.1388,0.1371
