bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,restaurant_name,primary_type,searched_as
14,2,1,9,9,4,0,38,11,8,38,7,5,16,4.4625,50.3125,160.10170579387642,BG_00130,27.69509604585354,85.32613220630554,Baneshwor,,,
24,1,0,29,11,10,0,38,4,16,35,14,15,11,4.4,112.0,173.35685619888213,BG_00131,27.70497499407715,85.33891184770462,Baneshwor,,,
17,4,1,27,15,7,1,59,3,18,73,31,8,12,4.275,101.0,318.400990988476,BG_00132,27.700187179305903,85.3333670206676,Baneshwor,,,
15,1,0,17,13,8,1,50,2,10,79,22,7,18,4.164705882352941,152.1764705882353,124.89533757153205,BG_00133,27.6894378310895,85.34863613293466,Baneshwor,,,
5,2,0,29,5,14,1,50,4,13,42,13,14,10,4.4222222222222225,78.0,62.40864683568886,BG_00134,27.697575573615694,85.34969465952511,Baneshwor,,,
15,3,0,4,5,2,0,40,7,5,42,2,3,8,4.4625,73.5,282.35328475577035,BG_00135,27.696699763952424,85.32440667711414,Baneshwor,,,
58,7,3,56,47,17,0,69,10,16,59,27,7,53,4.249056603773584,188.0943396226415,68.96468812149052,BG_00136,27.689631646919935,85.33625148623732,Baneshwor,,,
7,0,0,5,11,7,0,23,2,5,21,14,9,5,4.36,238.4,275.9719312408667,BG_00137,27.704564534761538,85.34574270378859,Baneshwor,,,
10,1,0,30,14,8,0,53,3,9,88,29,15,10,4.380000000000001,47.9,85.5277087569478,BG_00138,27.695948341805135,85.34432669549597,Baneshwor,,,
19,0,0,31,35,7,1,63,3,16,64,46,9,35,4.268571428571428,122.94285714285714,149.00916966561692,BG_00139,27.695981174839943,85.33925006017503,Baneshwor,,,
22,1,0,26,19,10,1,61,2,9,100,25,10,22,4.204761904761905,124.52380952380952,156.91258783725584,BG_00140,27.68915578740699,85.34733970033928,Baneshwor,,,
9,3,0,31,11,9,0,53,2,13,85,26,12,12,4.4363636363636365,67.72727272727273,239.5227104994225,BG_00141,27.694550074082755,85.34661853883148,Baneshwor,,,
12,0,0,13,12,9,0,28,1,7,25,10,11,5,4.3,238.0,99.74390545207642,BG_00142,27.705438579426595,85.34244234395736,Baneshwor,,,
5,3,0,26,4,18,2,54,3,11,50,11,10,10,4.4,85.33333333333333,96.78377325551396,BG_00143,27.69649695073819,85.35075234191098,Baneshwor,,,
17,1,0,40,20,7,0,53,3,13,59,30,20,9,4.322222222222222,35.22222222222222,115.06652432872603,BG_00144,27.698920920612085,85.34388309286388,Baneshwor,,,
5,0,0,17,19,8,1,80,5,26,74,17,12,9,4.51111111111111,82.44444444444444,179.62929056918557,BG_00145,27.684775708306937,85.3267066360182,Baneshwor,,,
30,1,0,43,23,11,0,64,4,24,57,25,12,22,4.313636363636364,98.31818181818181,158.58718891791298,BG_00146,27.701255885812795,85.33770020431017,Baneshwor,,,
22,3,0,38,25,8,1,68,8,22,64,23,8,17,4.435294117647058,61.294117647058826,167.87129635063317,BG_00147,27.68974822840708,85.32754472115772,Baneshwor,,,
38,4,1,48,37,10,1,67,11,18,57,31,10,32,4.378125000000001,205.96875,123.3355298661645,BG_00148,27.690205386651034,85.3309451434031,Baneshwor,,,
28,1,0,40,28,14,0,72,3,24,80,31,11,20,4.389473684210526,127.6842105263158,160.23066664783101,BG_00149,27.683441025930623,85.34614557457681,Baneshwor,,,
8,1,0,29,21,10,0,55,1,13,90,35,14,15,4.484615384615385,53.61538461538461,117.82047031357405,BG_00150,27.694197494470313,85.343544457581,Baneshwor,,,
40,4,1,47,30,10,1,63,2,15,93,34,15,35,4.232352941176471,132.7058823529412,106.63275780278349,BG_00151,27.691698911392017,85.33936356048898,Baneshwor,,,
24,2,1,44,32,6,2,71,8,14,78,28,7,23,4.291304347826086,249.7391304347826,171.3404992324953,BG_00152,27.68779571929909,85.33012257533514,Baneshwor,,,
7,0,0,4,11,7,0,20,2,5,21,13,8,4,4.2,296.0,152.21204763746175,BG_00153,27.7055624859849,85.34510176223861,Baneshwor,,,
3,1,0,17,6,5,0,65,4,22,77,19,19,14,4.364285714285715,87.07142857142857,96.36424344307888,BG_00154,27.681335538428474,85.33963373573927,Baneshwor,,,
10,1,0,17,6,5,1,20,3,15,22,9,10,6,4.516666666666667,42.333333333333336,187.81376383118322,BG_00155,27.706726138426887,85.33680191840587,Baneshwor,,,
15,3,1,9,5,5,0,53,11,10,52,8,5,13,4.476923076923077,59.07692307692308,133.93462238467825,BG_00156,27.69658550006183,85.32682979116545,Baneshwor,,,
