place_id,latitude,longitude,primary_type,search_area,searched_as,bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m
ChIJxy_9gPcZ6zkRCIWPT70UcBY,27.6975551,85.3092068,bakery,New Road,bakery,43,2,3,25,3,11,0,60,15,17,68,11,33,25,4.160869565217391,31.0,212.19309673833524
ChIJBYsij-0Z6zkR2qMRvGDcP1M,27.7014226,85.29911539999999,bakery,New Road,bakery,35,1,1,27,11,8,0,36,1,12,69,28,20,6,4.783333333333333,51.0,41.097562991444114
ChIJZ-e_PFYZ6zkR528f8RiWrjA,27.7158704,85.3074039,bakery,New Road,bakery,43,5,1,35,16,10,11,68,15,50,70,30,31,76,4.592105263157896,279.9736842105263,51.96308039297188
ChIJzf8bY-wZ6zkRKE8xOLXp1w8,27.6990784,85.3070784,bakery,New Road,bakery,50,1,1,29,2,11,4,66,14,17,79,18,57,45,4.20952380952381,88.54761904761905,160.84740789044304
ChIJQ35mZgAZ6zkRN25xMO2x9Fo,27.7113001,85.307964,bakery,New Road,bakery,36,0,0,32,12,11,17,51,10,46,111,28,40,70,4.532857142857142,304.2857142857143,58.23239637503446
ChIJ_2Bkim4Z6zkRHcpE2KMunp8,27.6838348,85.3121274,bakery,New Road,bakery,6,0,0,19,7,3,2,49,0,10,34,15,8,29,4.3758620689655165,168.75862068965515,11.674733318824778
ChIJYXsJbgAZ6zkRv4zFEsVZZlQ,27.7018911,85.3084215,bakery,New Road,bakery,74,0,3,38,3,10,10,66,21,17,99,16,84,62,4.167241379310345,164.6551724137931,14.582855350203795
ChIJiyV3QlIZ6zkRH6DAzaeXJqA,27.6981072,85.2984898,bakery,New Road,bakery,52,1,1,27,11,7,0,41,1,11,49,26,16,8,4.5875,85.125,179.428702681346
ChIJ6zvbxfwZ6zkRZWQ7Tta-K9Q,27.6913141,85.2985787,cake_shop,New Road,bakery,22,0,0,9,2,2,0,13,2,4,25,7,6,4,4.675000000000001,52.75,46.52878557064543
ChIJ35G1q1gZ6zkR5FgU2SiWpNQ,27.7078807,85.306105,cake_shop,New Road,bakery,32,0,0,36,1,11,8,38,5,15,83,26,73,20,4.295,211.7,43.01071794832125
ChIJqX3UTasZ6zkRd_P_6K-OpSs,27.7080599,85.3098662,bakery,New Road,bakery,64,1,1,41,8,21,17,51,10,22,110,28,85,41,4.425,305.075,220.1425466575704
ChIJAQMT1xgZ6zkRsk1nhxmG1RY,27.6909934,85.30544259999999,bakery,New Road,bakery,4,0,0,4,3,2,1,24,4,6,48,12,25,3,4.233333333333333,232.66666666666663,260.4284765943543
ChIJPUQITgAZ6zkRMiEUHiQyBJ8,27.7035549,85.31032739999999,bakery,New Road,bakery,88,2,2,41,3,21,12,70,20,20,92,16,84,62,4.166101694915255,169.47457627118644,29.294632317095537
ChIJh92_hqIZ6zkRcSEQIYQOCa8,27.6870644,85.29796499999999,cake_shop,New Road,bakery,4,0,0,1,1,1,0,2,0,0,0,0,0,3,4.8,19.666666666666668,476.3927975839814
ChIJEdqDk1kY6zkRHG_noTwtr58,27.700021,85.3018055,bakery,New Road,bakery,40,1,0,36,11,9,2,46,3,12,74,26,38,11,4.43,60.1,8.596842596241174
ChIJq766BXsZ6zkRuiyENuqEj4k,27.7196722,85.3092114,bakery,New Road,bakery,43,7,1,34,16,8,4,46,9,37,65,29,25,33,4.6000000000000005,236.5757575757576,122.81607273109556
ChIJAWj6fIEZ6zkRxnywESDNvwg,27.6997207,85.2985139,bakery,New Road,bakery,46,1,1,26,12,7,0,43,1,13,50,23,15,7,4.614285714285714,77.57142857142857,179.428702681346
ChIJCzzPMFYY6zkRP9cy8lkkra0,27.703868,85.30628589999999,bakery,New Road,bakery,47,0,1,35,1,14,11,44,12,23,90,21,86,48,4.231111111111111,199.57777777777775,14.798317813625443
ChIJ49fARxEZ6zkR7R6piuG4OLY,27.7152982,85.3093133,bakery,New Road,bakery,54,5,2,33,19,9,19,70,17,72,101,31,40,105,4.576923076923077,311.83653846153845,35.16683618444974
ChIJE529k1kY6zkRo5aQsjiho-g,27.6999585,85.3017541,bakery,New Road,bakery,42,1,0,36,11,9,2,47,3,12,74,26,38,11,4.43,60.1,8.596842596241174
ChIJufuvGNAZ6zkR0QKi0Tj-FjA,27.7135763,85.2888716,bakery,New Road,bakery,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.65,204.5,157.6508287706352
ChIJg9zqViMZ6zkRweCDKJcTUM8,27.7038993,85.3061398,bakery,New Road,bakery,47,0,1,33,1,14,11,46,11,22,90,21,79,48,4.2377777777777785,199.57777777777775,3.5191668039553368
ChIJIzfiKTMZ6zkRvrpVsAY7d7U,27.7087332,85.3064311,bakery,New Road,bakery,32,0,0,38,4,11,5,39,7,20,91,28,70,21,4.542857142857143,238.14285714285717,100.08202875237316
ChIJUzItGgAZ6zkRQ5kDcA7Iw4o,27.7022853,85.3054679,bakery,New Road,bakery,43,0,0,33,1,10,10,45,11,23,72,24,81,47,4.237777777777778,175.35555555555555,106.37792456712148
ChIJud91mQAZ6zkR4uu7r027z64,27.705858,85.3172369,bakery,New Road,bakery,51,8,2,28,40,19,3,61,11,16,109,32,19,25,4.336,205.68,107.95867920055886
ChIJR7r7Q-IZ6zkRUTOTZzUvQkg,27.6914158,85.29903709999999,bakery,New Road,bakery,22,0,0,9,1,2,0,13,2,4,25,7,6,4,4.775,60.75,46.52878557064543
ChIJ_WK4kxUZ6zkRxuqkT5HgKco,27.6970722,85.2928345,bakery,New Road,bakery,17,1,1,8,5,2,0,12,0,4,20,10,3,2,4.25,249.5,280.1255471291166
ChIJ37w_FQAZ6zkRpQr6vtW2XkU,27.6871035,85.3141129,bakery,New Road,bakery,12,3,0,33,15,8,2,75,1,19,58,17,15,18,4.338888888888889,116.77777777777776,16.688144326721677
ChIJx-cVRgAZ6zkRKmY4weRs74A,27.7095472,85.3009441,bakery,New Road,bakery,12,0,0,18,3,7,1,22,5,22,71,25,26,3,4.833333333333333,9.333333333333334,190.43189666588648
ChIJlZo6ylcY6zkRKYH2jb1ST0Y,27.7035581,85.3055371,bakery,New Road,bakery,43,0,1,35,1,13,11,44,10,22,80,21,81,48,4.22,199.53333333333333,68.0200090895962
ChIJW4PT6gIZ6zkRSiHerBIK7sE,27.6888655,85.31281609999999,bakery,New Road,bakery,14,2,0,36,10,9,2,52,1,17,56,11,18,12,4.158333333333332,133.83333333333334,209.5912092957812
ChIJLbrck7QZ6zkR_m3rjaRm6hI,27.6865509,85.3154349,bakery,New Road,bakery,16,3,0,49,12,13,7,82,1,19,81,16,14,19,4.326315789473685,106.57894736842104,63.539356898705655
ChIJY5ZUUP8Y6zkRFtww2K2KiPc,27.7055103,85.3089358,bakery,New Road,bakery,94,0,1,50,2,24,14,69,16,16,132,19,104,56,4.238888888888889,180.40740740740745,70.07896953770901
ChIJe3dsNAkZ6zkR0D6eEhkrEBI,27.7189916,85.3177753,bakery,New Road,bakery,10,3,1,12,10,6,3,50,2,16,45,6,10,18,4.316666666666666,217.11111111111111,73.43499519743017
ChIJlzVNmFcY6zkR5Opt5MD6uRw,27.7025808,85.3044402,bakery,New Road,bakery,39,0,0,28,2,10,10,33,6,19,75,23,81,46,4.20888888888889,182.11111111111111,106.37792456712148
ChIJPT-8M-oZ6zkRPtb8NslfnPM,27.7027218,85.3077122,bakery,New Road,bakery,77,0,2,39,3,11,11,63,16,17,65,23,87,59,4.254545454545455,173.4909090909091,12.154690651219122
ChIJgcajSrAZ6zkR7kWa4PUX9Ac,27.7135174,85.29369369999999,bakery,New Road,bakery,2,0,0,2,1,1,0,1,0,2,12,1,1,1,4.2,544.0,474.7281496634682
ChIJH7BXagAZ6zkRW5nM8NgGEco,27.7014957,85.2995246,bakery,New Road,bakery,33,1,0,27,11,9,1,37,1,13,68,27,25,7,4.7,84.66666666666667,41.097562991444114
ChIJF7DK7FAY6zkRYU0G5e3HHCQ,27.6969948,85.3046193,bakery,New Road,bakery,29,1,0,18,4,8,1,50,7,9,65,13,54,9,4.522222222222222,15.333333333333334,249.36782265128667
ChIJhYtTtfYY6zkR-oMXPmHgu7U,27.7105622,85.299386,bakery,New Road,bakery,10,0,0,12,3,7,2,18,5,15,57,18,20,3,4.833333333333333,9.666666666666666,190.43189666588648
ChIJ13fucv0Z6zkRRPZ9S_IFc50,27.7231886,85.3103678,bakery,New Road,bakery,17,3,0,18,8,9,1,22,1,14,35,16,11,4,4.125,83.75,288.614285155197
ChIJb92PCgAZ6zkR77oAVy-jTTk,27.7076711,85.3057378,bakery,New Road,bakery,28,0,0,36,0,11,9,37,6,16,84,29,73,17,4.252941176470589,213.4705882352941,43.01071794832125
ChIJ3UuAitYZ6zkR3tbtWqhnVD4,27.703996,85.3133125,coffee_shop,New Road,coffee_shop,76,11,1,37,7,17,5,61,18,21,95,10,49,27,4.143999999999999,135.24,166.64521128526212
ChIJH9YbdVAZ6zkRgtqNS3liLmg,27.7023027,85.3076014,coffee_shop,New Road,coffee_shop,68,0,2,39,3,12,11,61,16,20,60,23,84,59,4.205454545454546,172.0909090909091,5.816418761689795
ChIJqwIJfFYY6zkRJPB6HPesU2k,27.7023243,85.3079008,dessert_shop,New Road,coffee_shop,76,0,2,38,3,12,11,63,17,18,76,23,85,61,4.170175438596491,150.2982456140351,6.0881881847374295
ChIJTblBXAAZ6zkRetuvPdQ8edA,27.7142469,85.3087102,coffee_shop,New Road,coffee_shop,53,0,2,30,12,11,22,62,17,74,98,28,33,105,4.555769230769231,311.03846153846155,99.12576786782311
ChIJrfxbQgcZ6zkRI9MCqGEUGII,27.7116371,85.3089014,coffee_shop,New Road,coffee_shop,41,0,0,35,14,9,22,52,15,52,114,30,42,92,4.522826086956521,293.2608695652174,7.708252194001282
ChIJr6C7LVQY6zkRmf-3iDi-Rs4,27.7018421,85.30898409999999,coffee_shop,New Road,coffee_shop,86,2,3,37,3,14,10,70,22,20,92,15,84,64,4.163333333333333,159.11666666666667,44.12980924592005
ChIJkzysqZwZ6zkR4ByTjrisaG4,27.7110027,85.3178701,coffee_shop,New Road,coffee_shop,45,6,4,25,19,6,9,76,13,21,52,22,20,58,4.379310344827586,252.41379310344828,21.02131591233832
ChIJ8at7QgwZ6zkRF20IV2endzc,27.6851019,85.3071521,coffee_shop,New Road,coffee_shop,3,0,0,18,8,2,1,51,4,13,38,14,8,12,4.358333333333333,331.5833333333333,43.7261650138657
