bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as,label
51,5,1,39,17,11,14,78,16,64,75,32,36,93,4.595698924731183,287.93548387096774,38.75146081690002,ChIJDcylWPsY6zkRjKurQ0OfFEo,27.7157191,85.30819079999999,Baneshwor,coffee_shop,cafe,1
12,3,1,12,14,6,2,52,2,21,60,8,9,19,4.336842105263157,202.57894736842104,84.93599872118898,ChIJtRxQygcZ6zkRFKNUpuIFT90,27.7196274,85.31729419999999,Baneshwor,cafe,cafe,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.466666666666666,707.0,362.19565591022985,ChIJs5P-vhUZ6zkRT_CyBRGKUf0,27.727644,85.3305889,Baneshwor,cafe,cafe,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,797.4916659702418,ChIJ447Vr_UZ6zkRzKmVcRhGDgk,27.7390049,85.32407289999999,Baneshwor,coffee_shop,cafe,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.333333333333333,427.0,313.60700629364,ChIJF0fVmDQZ6zkRFwpl8c3gw44,27.740924,85.3346347,Baneshwor,coffee_shop,cafe,1
27,2,1,45,33,10,2,65,12,14,72,25,7,25,4.348,228.24,10.130246215754289,ChIJF-frZQAZ6zkR2BasNHD8beU,27.6893391,85.330016,Baneshwor,restaurant,bar,1
24,0,0,45,23,8,1,61,4,17,47,31,13,24,4.2250000000000005,113.375,7.858977000396782,ChIJ_8NuBpAZ6zkRuAzG1_mLELY,27.6990097,85.338376,Baneshwor,sports_bar,bar,1
36,2,1,46,37,14,1,63,3,16,73,40,12,35,4.276470588235294,148.44117647058823,146.21752131791212,ChIJK0GDbAUZ6zkRvoTyCDhVE2Y,27.6929317,85.3382247,Baneshwor,bar,bar,1
7,0,0,14,8,8,1,66,3,20,78,16,39,7,4.528571428571429,28.142857142857142,148.04601407108015,ChIJvSeY-BAZ6zkRFhLOi1jaQwo,27.6806949,85.327915,Baneshwor,bar,bar,1
58,7,3,59,48,13,1,79,8,16,80,39,9,50,4.246,208.6,3.813036163652173,ChIJ8Y6KDwAZ6zkRMaD3nLEftYw,27.6910921,85.3361445,Baneshwor,lounge_bar,bar,1
58,7,3,59,47,13,1,78,8,16,79,40,9,52,4.221153846153846,200.7692307692308,3.813036163652173,ChIJS9exxOEZ6zkRG3MTA0cAJEA,27.6910577,85.3361455,Baneshwor,bar_and_grill,bar,1
16,2,0,34,27,9,0,73,0,11,129,31,14,27,4.361538461538461,166.84615384615384,137.00605985195176,ChIJLe2P_VEZ6zkRHmAXqL7S-yI,27.6915196,85.3420486,Baneshwor,bar,bar,1
2,2,0,11,1,7,1,17,1,3,4,3,4,6,4.616666666666666,139.0,102.18778809537729,ChIJ1wqFCLwZ6zkRqz3ToWmujNM,27.7003804,85.3535084,Baneshwor,bar,bar,1
10,1,0,27,10,6,0,76,4,25,94,20,20,19,4.363157894736841,105.0,7.445962300711522,ChIJ1ZQQopkZ6zkRKYDCfMzej5U,27.6815663,85.3372326,Baneshwor,bar_and_grill,bar,1
11,0,0,16,9,11,0,29,2,6,38,6,10,5,4.340000000000001,241.4,211.53520718653272,ChIJFz0ZOoAZ6zkROgkbw7Hi6XI,27.7062188,85.3399781,Baneshwor,bar,bar,1
28,1,0,44,23,12,0,72,5,20,68,23,14,22,4.231818181818182,118.45454545454544,61.175419443601164,ChIJZ9MoZwAZ6zkR76a9yBi4QKk,27.7011851,85.3395438,Baneshwor,bar,bar,1
39,2,1,43,34,12,1,69,5,14,80,39,12,40,4.3225,172.85,17.9581435253839,ChIJY5JHLKIZ6zkRtTX1XUH8tyI,27.6926688,85.3364787,Baneshwor,bar,bar,1
17,2,0,27,13,9,1,37,5,17,43,18,13,6,4.45,64.66666666666667,261.7606353896466,ChIJJ8czaioZ6zkRijqXnQ91FNM,27.7050625,85.3364375,Baneshwor,cafe,bar,1
58,7,3,57,44,15,0,74,10,14,60,26,8,47,4.32127659574468,282.0,62.24377188360751,ChIJdW1tY0oZ6zkR4egLC9G8tW8,27.6878781,85.33621869999999,Baneshwor,bar,bar,1
53,2,2,22,17,9,22,67,17,75,99,26,41,112,4.556756756756756,304.9009009009009,6.026112767463857,ChIJBUUfcAAZ6zkR3lSVKKKy-WI,27.7143949,85.3101981,Baneshwor,bar,bar,1
3,3,0,20,3,13,2,36,2,7,24,7,5,10,4.266666666666668,149.88888888888889,71.52120323406763,ChIJCalBPAAZ6zkRjhvkMafGOMY,27.6971102,85.35327869999999,Baneshwor,bar,bar,1
10,2,1,10,16,3,1,68,8,17,61,25,8,12,4.633333333333334,28.916666666666668,216.17698187494344,ChIJ-w-JWBgZ6zkR-DgtvfJ1vdM,27.6973866,85.3319509,Baneshwor,bar_and_grill,bar,1
25,2,1,44,27,9,1,73,9,13,67,24,8,26,4.426923076923077,131.8846153846154,84.28131652985458,ChIJMcHvCrwZ6zkRO53jbK1xans,27.6896653,85.3292441,Baneshwor,bar,bar,1
27,3,1,44,24,13,0,66,2,15,103,24,14,34,4.26875,207.25,30.014589222280915,ChIJcxRSdJoZ6zkRQUsyHlk02pc,27.690866,85.3408695,Baneshwor,cake_shop,bakery,1
21,0,0,24,27,8,2,69,4,21,63,38,7,30,4.216666666666666,135.5,203.81415226669372,ChIJd5KfJgAZ6zkRGHMApNkEWw4,27.6966476,85.3354481,Baneshwor,bakery,bakery,1
23,1,1,36,38,10,1,68,3,15,69,44,9,31,4.326666666666666,139.7,10.634449691848497,ChIJM5tgfeQZ6zkRz90Fjju5iTA,27.6948811,85.340119,Baneshwor,bakery,bakery,1
