place_id,restaurant_name,latitude,longitude,search_area,building_count_500m,Demand,Accessibility,Competition,Population
ChIJaWqYXXYb6zkRL71dqbtFr8A,"Orange Cafe & Restaurant,Thali",27.7259538,85.4065517,Bhaktapur durbar square,0,0.0,0.1522,0.8187,0.0
ChIJf5d6nYwb6zkRbw2eDHrCKes,Taleju Grand Hotel - Bhaktapur,27.6726564,85.42894989999999,Bhaktapur durbar square,5286,0.3199,0.4091,0.3632,0.9241
ChIJkYtARZAR6zkRpnfYlhF3Te0,Seele Cafe,27.6606164,85.3870829,Bhaktapur durbar square,0,0.0,0.152,0.7837,0.0
ChIJP0xBoUIZ6zkR_y7_D9I60Jg,Aone Cafe,27.6666004,85.3544366,Bhaktapur durbar square,103,0.0204,0.2418,0.5045,0.018
ChIJtVcFSQAb6zkRBR1ek89Gres,Chiya & Cheers,27.670342100000003,85.428108,Bhaktapur durbar square,4645,0.2982,0.365,0.3671,0.8121
ChIJLUDTLNkb6zkRXbpPlp2hYUE,ChiyaBhatti Cafe,27.6707752,85.4291147,Bhaktapur durbar square,4783,0.3185,0.351,0.3798,0.8362
ChIJGYARj7Ub6zkRNTdYENeSh58,Tas-ka Bar,27.6702897,85.4285822,Bhaktapur durbar square,4621,0.2781,0.3606,0.3726,0.8079
ChIJy3hqPwAb6zkRbY-sN1zpQBI,De Tisha In,27.6710152,85.4290822,Bhaktapur durbar square,4878,0.3299,0.3541,0.38,0.8528
ChIJkYEedAAb6zkRRfSLJ9tGBpc,Deep Bar,27.6748464,85.42730979999999,Bhaktapur durbar square,3615,0.2661,0.4193,0.3798,0.632
ChIJgxO3EgAb6zkR5ZaCu8CjLEg,Wassa,27.670994,85.4298429,Bhaktapur durbar square,4762,0.3292,0.3511,0.3766,0.8325
ChIJsdhSwQwb6zkRlU0yhdd_ye8,King seven Liquors,27.6709939,85.4298429,Bhaktapur durbar square,4762,0.3292,0.3511,0.3766,0.8325
ChIJ-xn2Tpwb6zkRmQ55LV5omVc,The Tribal Bar,27.6675284,85.42521219999999,Bhaktapur durbar square,3122,0.2675,0.4328,0.4543,0.5458
ChIJ0Z_TghMR6zkRdVUqdxEL9DA,The Golden Lion,27.6617555,85.4211059,Bhaktapur durbar square,738,0.0771,0.3129,0.5047,0.129
ChIJe5s02Fgb6zkRGlCyTGv9Sns,Raksi pasal,27.670994,85.4298429,Bhaktapur durbar square,4762,0.3292,0.3511,0.3766,0.8325
