area,osmid,latitude,longitude
Baneshwor,1400078208,27.702195400000004,85.33498570000002
Baneshwor,1281218994,27.7069786,85.3334235
Baneshwor,1835518189,27.705986800000005,85.3337354
Baneshwor,2105153090,27.706318899999992,85.33161290000001
Baneshwor,1281219001,27.702291099999993,85.3286029
Baneshwor,1400078199,27.702041200000007,85.3291595
Baneshwor,1400078150,27.701460799999996,85.3351808
Baneshwor,1281221660,27.697842299999998,85.3313275
Baneshwor,3179376308,27.69801680000001,85.3314844
Baneshwor,1400077995,27.697582,85.3305098
Baneshwor,1832459961,27.697283,85.331632
Baneshwor,1281221663,27.699688699999996,85.3306402
Baneshwor,1281221661,27.6999505,85.3327343
Baneshwor,1400078038,27.699906099999993,85.3324028
Baneshwor,10700866600,27.700251999999992,85.3338173
Baneshwor,1400078062,27.700365499999993,85.3325669
Baneshwor,2341773785,27.699831,85.330871
Baneshwor,3131197956,27.699724500000002,85.3305752
Baneshwor,1950423260,27.6910187,85.3341849
Baneshwor,1281221672,27.6961789,85.3307296
Baneshwor,1950448999,27.6963474,85.3304284
Baneshwor,10755475392,27.695762599999995,85.32973990000002
Baneshwor,1382824274,27.6931535,85.3324796
Baneshwor,1281221678,27.70333049999999,85.326442
Baneshwor,1910625698,27.7027825,85.3262261
Baneshwor,3362930834,27.702776099999994,85.3273795
Baneshwor,2031401969,27.6948889,85.3332231
Baneshwor,1382824315,27.69435379999999,85.3326658
Baneshwor,1281221704,27.6955593,85.3375835
Baneshwor,2174589222,27.6953848,85.3395143
Baneshwor,2176739905,27.695261,85.3373748
Baneshwor,10902101316,27.695066200000003,85.3385134
Baneshwor,1281221707,27.7018187,85.3256359
Baneshwor,6537401367,27.700636899999996,85.3242689
Baneshwor,1400078184,27.701782,85.3269606
Baneshwor,1281221716,27.699857899999998,85.3309252
Baneshwor,1400078036,27.699926399999995,85.331745
Baneshwor,1400078078,27.700533999999994,85.3311047
Baneshwor,1281233878,27.683829699999997,85.3333345
Baneshwor,1941180378,27.683751399999995,85.3333251
Baneshwor,1281233921,27.684203,85.3329414
Baneshwor,1931989930,27.684373299999994,85.3336172
Baneshwor,1281233885,27.687332399999992,85.3352889
Baneshwor,4508222042,27.687104499999997,85.3352619
Baneshwor,1281234039,27.686917799999996,85.3337314
Baneshwor,1281233887,27.6862114,85.3433177
Baneshwor,1281233954,27.684537499999998,85.3429783
Baneshwor,1281233897,27.686457199999992,85.3431324
Baneshwor,1350400473,27.686747399999994,85.3435632
Baneshwor,1281233890,27.686921800000004,85.3286728
Baneshwor,1281234133,27.686986499999996,85.3285516
Baneshwor,1281234028,27.686318599999996,85.3296692
Baneshwor,1934727603,27.687031800000003,85.3291044
Baneshwor,1281233893,27.684419299999995,85.3400724
Baneshwor,1281233967,27.68458519999999,85.3407149
Baneshwor,1931372135,27.6847869,85.3403612
Baneshwor,1931981201,27.6842905,85.3395706
Baneshwor,1281233896,27.6844264,85.3423007
Baneshwor,1931252868,27.6844507,85.342153
Baneshwor,1931981217,27.684664799999997,85.3428586
Baneshwor,1931372127,27.684517499999995,85.3428544
Baneshwor,1281234065,27.6865289,85.3431628
Baneshwor,1931372233,27.686602900000004,85.3424784
Baneshwor,1281233898,27.686767600000003,85.332752
Baneshwor,1281234035,27.686290599999996,85.3322381
Baneshwor,1281233928,27.68719309999999,85.3331975
Baneshwor,1382902964,27.687397899999993,85.3326241
Baneshwor,1281233905,27.685627099999998,85.33511350000002
Baneshwor,11986984706,27.6861078,85.3333214
Baneshwor,1908520542,27.685265900000005,85.3356472
Baneshwor,1281234079,27.686814900000005,85.3352398
Baneshwor,2129610824,27.6817136,85.3316326
Baneshwor,3072788040,27.681443199999993,85.33271240000002
Baneshwor,1882485978,27.681925199999995,85.3324498
Baneshwor,1281234036,27.684233999999996,85.3326978
Baneshwor,1931989933,27.684596999999997,85.3329545
Baneshwor,1945637506,27.6901147,85.32894380000002
Baneshwor,6671608041,27.68998549999999,85.3288591
Baneshwor,7155782681,27.6924617,85.3238578
Baneshwor,1281233927,27.68758,85.3318797
Baneshwor,1382902959,27.687031999999995,85.3315859
Baneshwor,1281234122,27.687464699999996,85.3324436
Baneshwor,13438910198,27.687888800000003,85.3315844
Baneshwor,4914887993,27.6885186,85.3337691
Baneshwor,1281233932,27.685566600000005,85.3306758
Baneshwor,1281234064,27.685485900000007,85.3307355
Baneshwor,7171248685,27.685781999999996,85.33037040000002
